Summary,Dominant Topic
rolled left houses takeoff . failure artificial horizons .,9
short runway fog . pilot descended published minimums low fuel . inadequate preflight planning . improper ifr operation .,8
snow showers low visibility .,7
"hit 11,620 ft. mountain poor weather .",1
"struck trees mountainous area rain low visibility 5,700 ft. north proposed . continued vfr adverse weather .",7
"forced return san borja no.2 engine failed . crossing runway trees 1.2 past end runway . malfunction failure . 2 engine , landing gear malfunction improper landing procedure .",3
lost altitude right wing struck trees chillacocha mountain range 9.000 ft. .,1
approach .,8
takeoff .,1
crew practicing dual engine failure . 3 4 engines shut . airplane lost control captain attempted go-around . 3 engine failed relight . propeller caused strong drag rolled impacted ground .,3
"took , shifted causing enter layer fog crash swamp . improperly loaded .",3
ocean . engine failure .,3
burned attempting land .,1
climbing cruise altitude . failed maintain adequate rotor speed .,5
"took burbank propeller blade separated , causing engine failure . circled back airport attempted emergency landing upon touchdown ’ speed great . result , landing aborted crew opted divert nearby van nuys airport . , second engine failed onto woodley golf course one mile short runway van nuys . plowed small unoccupied building came rest portable bungalow .",3
takeoff .,1
water sank attempting emergency forced . unscheduled feathering right prop undetermined reasons . engine failure undetermined reasons .,3
short runway .,9
jungle,1
"plunged earth fl 260. electrical power failure compass , gyros auto pilot .",3
continued vfr adverse weather .,8
pacifiocean in-flight fire . source fire undetermined .,2
training collided dc-8 . dc-8 landed safely .,8
lake approach .,9
overran runway landing excessive speed . captain 's faulty judgement initiating go-around committed full stop landing following excessively long fast touchdown unstabilized approach .,3
attempting go-around . continued vfr adverse weather . spatial disorientation . premature flap retraction .,1
made high speed vertical dive . probable cause undetermined .,7
structural failure in-flight separation right wing . fatigue cracks attributed stress due design . cracks became critical sooner anticipated . cracks remained undetected became critical manufacturer 's inspection program area insufficiently .,9
flew thunderstorm broke apart . exceeded designed stress limits . vfr adverse weather .,1
fatigue fracture tail boom fuselage attachment fitting . pilot 4 passengers recovered .,9
show low ceiling . whiteout . initiated adverse weather conditions .,3
"touching 2,200 runway , go-around procedure initiated . acceleration felt , throttles closed . attaining nose-up attitude 11 degrees , ran end runway struck localizer antenna . wingtip clipped hillside , hit embankment , went airborne contacted ground bursting flames . captain 's actions judgement initiating go-around manoeuver insufficient runway remaining long touchdown .",9
"airplane 1,000 meters beyond runway taking failure . 2 engine .",9
airliner mountainous terrain diverted kozani due poor weather larissa .,7
struck lightning descending fl100 . explosion . 1 fuel tank caused left wing fail crash . ignition fuel vapor no.1 tank vicinity motor drive fuel valve .,2
went spin .,9
lost control . probable cause undetermined .,7
destroyed hijacker set grenades cabin . three hijackers killed .,3
mountainous terrain .,7
. 3 engine failed takeoff roll left agana naval air station . began rise struck terrain exploded flames . loss climb capability crew retracted flaps low altitude clear rising terrain . flaps retracted . 3 propeller feathered lifted runway . driver automobile struck killed .,3
stalled approach two airport .,9
hit powerlines 70 ft. agl . pilot failed see avoid obstructions .,9
"hijacked , athens , palestinian terrorists flown entebbe uganda . seven passengers killed commando raid israeli armed forces free hostages .",9
caught fire exploded .,2
midair collision another piper pa-28 climbing cruise . three killed n7941c two . pilots failed see avoid eachother .,4
"collided dirt bank overrunning runway landing . misjudged distance , speed altitude . failed initiate go-around .",1
. 3 engine failed approach . 4 engine feathered mistake . . 4 engine restarted lost control zlaté piesky lake decision go-around made .,3
rain low ceiling . continued vfr adverse weather .,2
instead turning course continued straight hit mountain .,1
15 minutes taking .,0
.,7
"pilot rotated 5,000 ft. runway rising terrain . premature takeoff . failed abort takeoff .",1
"made hard landing causing nose gear collapse , drift runways collide obstructions . failure engines , controls instruments .",3
"suffered structural failure flying severe thunderstorm . starboard wing , horizontal stabilizer vertical tail fin separated .",9
hijacker set two grenades killed .,3
hill one mile short runway heavy rain wind attempting land lajes air base . members venezuelan choir orfeon universitario killed . properly aligned runway made approach . weather conditions associated hurricane emmy primary factor accident .,8
float struck power lines attempting land .,8
"midair collision fl187 . atc error . fifty-two deaths antonov , 38 yak . violation separation rules . contributing causes insufficient visual alertness part crews lack situation analysis based air/ground radio communications .",9
"midair collision . atc error , negligence operations . improper look-out duties . one hundred thirteen deaths dc-9 63 trident . entire shift controllers arrested . one found guilty criminal negligence sentenced seven years jail release little two years .",1
struck . karatepa approach land . crew attempted landing isparta instead antalya .,8
"trying make turn narrow valley , pilot sensed stall , leveled grove trees .",9
helicopter mediflight . pilot failed see avoid power lines flying pass .,4
flew high terrain .,7
struck . kenya descending land . descended prematurely .,7
ten minutes taking barbados reported explosion aboard . seen overcast trailing smoke . caribbean . detonation explosive device aft cabin initiated uncontrollable fire led incapacitation crew .,3
flying area thunderstorms . continued know areas severe turbulence .,1
"crash landed flames emergency landing . right engine failed takeoff . fatigue crack compressor led engine destruction , severing fuel lines fire . fire spread crew shut fuel supply .",3
"failed climb trees , poles houses end runway came rest soccer field 560 meters beyond runway . failure crew select enough thrust achieve necessary acceleration . crew fatigue .",9
partial power loss . 1 engine initial approach . water . failure . 5 cylinder right engine . body co-pilot recovered .,3
. 1 engine failed burned left wing dropped touched runway .,9
"overshooting runway , go-around initiated abrupt application power made engine autofeather .",9
went missing curacao - port-au-prince .,2
could maintain positive rate climb takeoff .,6
takeoff poor weather conditions .,1
final approach . unrestrained german shepard interfered controls .,8
short runway rain . windshear . 's rate descent descent path angle increased result windshear encountered visual approach minimum descent altitude . crew recognize flightpath deviations relying visual references degraded non-homogeneous fog kinestheticues adversely affected 's forward center gravity resulting improperly loaded .,6
fog making landing attempt .,3
industrial area landing attempt . lack altitude awareness disorientation leading uncontrolled descent . crew make use navigational aids .,3
disappeared . water . aboard never recovered .,7
foothills andes shortly taking trujillo .,0
"took palm springs municipal airport light rain , bound las vegas nevada . climbed 9,000 never changed runway heading flew directly mountain altitude 9,700 . crew 's misinterpretation ifr clearance issued palm springs departure control subsequent atc instructions . natalie 'dolly ' sinatra , 82 , mother entertainer frank sinatra traveling companion killed .",3
"preparing land informed tower left engine fire . shortly thereafter , exploded 2 short runway .",3
attempting take . alcoholiimpairment captain . flightcrew members prevent captain attempting fly . blood alcohol 0.21 .,3
little herman mountain approach .,1
"suddenly dove earth apartment parking lot altitude 1,150 . icing stabilizer leading stabilizer stall . no.2 no.3 engines running reduced power anti-icing system temperature low .",9
stalled nearly vertical . shifting .,9
short runway attempting land . failure follow prescribed path decision height marginal weather .,3
aborted landing .,1
whiteout conditions .,3
ocean .,2
cloud obscured . serra shortly taking san giusto airport pisa . seen making evasive maneuver slamming mountain peak .,7
short runway attempting land .,8
"taking 's . 2 engine develop power , rolled right . attempted operation known deficiencies equipment . failed follow approved procedures . inadequate maintenance inspection .",9
"high speed , 45 degree attitude tezzeron lake sank . pilot instrument rated likely lost control entered instrument conditions heavy snow shower . entered spiral dive pilot able recover .",9
"diverted tenerife bombing las palmas airport . extended delay , planes instructed back track runway . klm reached takeoff point pan still runway . pan continued runway missing taxiway turnout . heavy fog runway . klm began takeoff roll without permission pan still runway . klm hit pan taking . planes burst flames . klm 234 + 14 crew , pan 326 + 9 crew killed . aboard klm killed . pan named clipper victor . klm named rhine river .",3
"spotting mountain front , pilot applied full power went steep climb . stalled trees .",9
fog .,0
sustained broken windshield loss power engines penetrating thunderstorm encountering hail . crash landed highway exploded flames . total unique loss thrust engines penetrating area severe thunderstorms heavy precipitation hail . contributing factor failure company 's dispatcher provide crew up-to-date severe weather information .,3
slopes guape mountains . found 1 month later . deviation course .,7
building attempting land snow poor visibility .,1
failure . 1 engine due lack oil . mantenance error . incorrectly connected high pressure oil hose .,3
exploded desert shortly taking . crew error . unsafe altitude area unfamiliar terrain .,1
struck power lines trees attempting land .,8
"elevator assembly separated mid-flight . nose dived . in-flight separation right hand horizontal stabilizer elevator result combination metal fatigue inadequate failsafe design rear spar structure . shortcomings design assessment , certification inspection procedures contributory factors .",9
"passengers loading aboard helicopter top pan building , landing gear collapsed causing helicopter tip side . four people , waiting board craft killed rotating blades . one blades tore loose struck window breaking two . one-half blade sailed two blocks striking killing pedestrian . fatigue failure upper right forward fitting right main landing gear tube assembly . fatigue originated small surface pit undetermined source .",3
struck power lines attempting land .,1
float making approach canal landing collided bridge rain hail . continued vfr adverse weather conditions .,8
trees making ils approach .,8
pacifiocean exploded moments taking wake island air base . rose higher 400 ft. crashing one mile end runway .,3
black shortly taking kirovograd .,0
shot rebels near namibia border took .,1
"mountainside poor weather , visibility rain showers .",1
flew terrain . pilot command misjudged speed clearance .,1
swamp burst flames attempted land heavy rain night .,1
left engine exploded mountainous terrain . overloaded passengers .,3
flew blind canyon . stalled canyon go-around mountain strip . minimum flying experience .,7
"helicopter , piloted francis gary powers , 48 , balboa park way back covering news story brush fire santa barbara . francis gary powers famous piloting u-2 spy 1960 shot russians caused major political crisis president eisenhower . powers helicopter pilot newscaster knbc los angeles . power 's cameraman also killed . helicopter apparently ran fuel .",9
struck mountain shortly taking el bolson .,7
flew thunderstorm .,7
experienced engine loss final approach . wrong engine feathered . cashed . inadequate maintenance inspection . engine fuel manifold valve defective .,3
"took struck trees , burned .",7
. equipped emergency floats aboard never recovered .,0
"stalled , went spin short runway . failure maintain flying speed .",9
". 4 engine failed shortly taking . fire developed ocean . loss control following in-flight separation right-hand outboard wing section no.4 engine . failures followed no.4 engine failure , internal engine fire fire fuel system eventually resulting massive external fire .",3
collided cessna 185 climbing cruise . failed see void .,5
struck mountain peak cajas mountains poor weather . flying vfr ifr conditions .,7
"level . iliamna glacier 7,000 . failure crew use proper navigational procedures flown especially failure use available backup means navigation verify position progress . recovery bodies wreckage possible .",9
jungles eastern burma .,7
gain altitude taking trees 2.5 runway . overloaded lost engine takeoff .,3
mountain peak manzano range shortly taking making right bank . observed flying low heed controller 's warnings . fatigue may played part accident .,7
short runway . flown reduced power went unnoticed crew struck ground level ..,9
"mountain climb cruise . midjudge distance , speed altitude .",1
struck hill 4 short runway vor approach thunderstorm . crew error . descended mda .,9
low canyon approacing mountain pass . unable outclimb rising terrain . exceed gross takeoff weight aft center gravity .,7
"rain , fog thunderstorm activity . pilot flying low deteriorating weather .",8
"crew diverted mcomb low fuel . engines quit could land forced landing attempted wooded area . struck trees could make forced landing open field . lead singer ronnie van zant , 29 , guitarist stevie gaines , back vocalist cassie gaines assistant manager dean kilpatrick lynyrd skynyrd band killed . several members band seriously injured . fuel exhaustion due crew inattention fuel supply . contributing factors improper planning malfunction no.2 engine caused higher normal fuel consumption .",9
"lifting water container began rotating control lost contact made ground , shearing tail rotor large portion tail assembly . new engines installed ch-53s increase power main rotor whole make helicopter powerful . however , soon evident tail rotor could balance increased power created main rotor . certain conditions would become unstable lose directional heading . sikorsky warns conditions . compensate mistake made , sikorsky designed tested bell crank system stabilize rear rotor . seven years , helicopter still retrofitted bell crank system . gross weight container exceeded lifting capacity helicopter . restrains used passengers .",9
explosive decompression .,5
"exploded , burned approach .",1
"landed 1,000 ft. past aiming point runway heavy rain , overran runway plunged cliff third landing attempt . hydroplaning , due poor drainage runway . excessive speed landing .",3
failed gain altitude trees .,7
went missing . never found .,7
high ground second landing attempt . procedural error crew final approach abandoned ils procedure . influenced interruption vor signal .,8
mountains north city fog adverse weather conditions .,7
hit trees short runway final approach rain fog . observed flying low 3 airport .,9
"able land scheduled airport due fog , crew could find alternate airport , ran fuel .",3
"hijacking descending 21,000 7,000 , pilots shot swamp .",1
collided cable crane . crane operator failed park crane boom stowed position .,7
"flew 4,200 ft. mountain 1,200 .",7
"takeoff rain fog . killed , entire evansville basketball team . aileron one wing rudder remained locked upon takeoff , made extremely difficult bank . attempted takeoff rudder right aileron control locks installed , combination rearward center gravity . improperly loaded luggage resulted rearward center gravity resulted 's rotating nose-high attitude immediately takeoff entering region reversed command pilot unable recover .",3
holding pattern land . icing vertical stabilizer . equipped fly icing conditions .,7
ditched ocean approach . crew error . sensory illusion .,8
"holding pattern electrical problems cashed 7,600 ft. mountain . approach controller 's issuance crew 's acceptance incomplete ambiguous holding clearance combination crew 's failure adhere prescribed impairment-of-communications procedures prescribed holding procedures . controller 's crew 's actions attributed probable habits imprecise communication imprecise adherence procedures developed years exposure operations radar environment . contributing accident failure 's no.1 electrical system unknown reasons .",3
made forced landing ocean . fuel exhaustion . inadequate preflight planning . mismanagement fuel .,0
"pilot lost control 2,200 ft. short runway 45 degree nose-down right bank attitude attempting land . unknown possible turbulence including windshear mechanical failure flaps/ailerons .",9
exceeded design stress limits experiencing airframe ice .,9
hill descending landing . flying vfr ifr conditions .,7
"following right turn , taking , rolled left beyond 90 degrees , went steep dive , exploded shallow water . irrational control wheel inputs part captain attitude director indicator malfunctioned leading complete loss situational awareness .",9
"electrical tower landing approach , 1 mile short runway . previous damage caused aileron surface attachments separate .",9
engine failure climb cruise . fuel starvation . ice fuel . improper emergency procedures .,9
"struck 7,000 ft. mountain fog .",7
takeoff .,1
passenger attempted make emergency landing artigas airport taken . engine failure followed wide banking turn crash ground bursting flames .,3
shortly taking richland climbing 400 stalling . crew error . failure inability flightcrew prevent rapid pitchup stall exerting sufficient push force control wheel . pitchup caused combination mistrimmed horizontal stabilizer center gravity near 's aft limit . mistrimmed condition resulted discrepancies 's trim system flightcrew 's preoccupation making timely departure . out-of-trim warning system inoperative .,9
"touched crew noticed snow plow runway . go-around initiated thrust reverses stow away properly hydraulipower automatically cut lift-off . missed plow , overran runway , burned . estimated time arrival given calgary atc error . crew report final approach beacon .",9
obscured mountain . continued vfr adverse weather conditions . radar showed circling mountain tops 12 minutes .,1
pilot suffered spatial disorientation rain low ceiling . continued vfr adverse weather conditions .,2
continued vfr adverse weather conditions .,8
"approaching v1 speed takeoff , loud bang heard followed shaking . crew decided abort takeoff . end runway approaching , captain steered runway right . landing gear failed resulted fire . slid approximately 650 came rest 40 right runway centerline . several passengers heeding warnings stewardess exited onto wing fell fire . failure two tires left main landing gear resulting failure third tire critical point takeoff . pilot gene hershe 's last retiring .",3
experiencing engine failure takeoff climbout .,3
midair collision . fokker collided mig performing touch-and-go landings . error mig pilot . sixteen killed fokker two mig .,9
ocean shortly takeoff due problems artificial horizon . pilot radioed instrument failure . banked left .,9
final approach rain low ceiling . improper ifr operation . pilot attempted operation beyond experience ability level . pilot failed instrument check 4 days accident .,7
final approach flying areas turbulence thunderstorms .,1
shortly takeoff . undetermined emergency kind occurred climb takeoff resulting loss control .,9
mountain fog . continued vfr adverse weather conditions .,1
"explosion , went spinning ground field .",9
"lost engine rotation takeoff pilot attempted return airport emergency landing . due low altitude , stalled paraiba river , one-half mile runway . mechanical failure .",3
helicopter attempting land oil drilling platform . co-pilot suffered spatial disorientation stalled helicopter .,3
made forced landing water . fuel starvation . inattentiveness fuel supply . fuel selector positioned tanks .,6
", deviated course , suffered rapid decompression fired upon russian fighter . made emergency landing frozen lake .",3
lost control pilot entered known area severe turbulence thunderstorms .,1
pilot took shortcut mountainous center upolu instead flying along coast per company procedure .,8
farmland six outside bogota shortly taking .,7
float flew blind canyon water . continued vfr adverse weather conditions .,7
"attempting non-precision instrument approach pensacola landed 12 water , 3 nm short runway . failure crew monitor altitude descent rate failure 1st officer provide captain required altitude approach performance call-outs . also engineer disabled gpws alarm crew could hear one another better . addition , night diverted primary airport due poor weather required execute compressed approach ( descending approaching quickly steeply normal ) , crucial altimeter readout old drum-roll-counter type ( due replaced ) , could easily misread , especially heavy workload situations . three fatalities occurred frightened passengers grabbed seat cushions exited rear . drowned part seat cushions flotation cushions . airplane required floatation cushions flying water .",9
mountains .,7
engineer accidentally shut automatitransferring fuel sump tank . eventually three engines stopped . fuel starvation .,9
heavy fog attempting take .,7
"overran runway revine aborted takeoff due blown tire . . 3 tire failed takeoff debris damaged right gear 'down locked ' switch , causing gear unsafe indication cockpit . debris also ingested . 2 engine causing loss reverse thrust rejected takeoff .",3
helicopter 87 northwest bergen ferry run oil drillilng platform .,3
pilot decided fly lower altitiude avoid weather hill . flying vfr ifr conditions .,1
", flying vfr , collided mountain deteriorating weather condtions blown course went unnoticed lacking navigational equipment .",1
. twelve bodies recovered .,5
pilot misjudged altitude clearance descending land . alcoholiimpairment pilot .,1
shortly taking .,0
"takeoff . elevator control stop backed , limiting elevator travel 1 1/2 degrees normal 20 degrees .",9
made force landing water . overloaded . allowed take much weight . improper emergency procedures .,3
"approach , yawed left plunged ocean left-wing nose-down attitude sank . in-flight failure left-hand inboard flap control rod led sudden retraction complete left-hand flap system sudden loss control .",3
"took kariba airport 17.10. shortly departing kariba , starboard wing hit sam-7 missile . crew tried make emergency landing large clearing bush . crash landed , striking irrigation ditch , cart-wheeled , broke caught fire . soldiers joshua nkomo 's zimbabwe peoples revolution army , responsible shooting airliner , later killed 10 18 survivors . remaining survivors rescued next day .",3
taking engine failure . connecting rod bolt nut failure reasons unknown .,3
flew mountain .,7
helicopter experienced rotor failure . undersized threads anti-node bar .,3
domestiflight attempting land paranaque thunderstorms heavy rain wind gusts . possible lightning strike .,7
disappeared . aboard never found .,7
fog low ceiling . continued vfr adverse weather conditions . improper emergency procedures . landing gear would retract .,8
"midair collision . psa descending land lindbergh field . cessna climbing engaged practice approaches . 727 overtook struck cessna rear . primary cause psa crew lost sight cessna make fact known atc . atc failed realize psa transmissions lost sight cessna . one hundred thirty-five killed psa , two cessna seven ground . crew fatigue may played part accident unofficial reports crew attended night party 2 hours sleep night .",3
flew vortex turbulence attempting land . unable communicate terminal radar service frequency .,1
"taking , one engines stalled due damaged # 5 cylinder exhaust . pilot attempted return kuopio . turned lost control lake juurusvesi .",3
lost engines climbout made emergency landing sandbank irrawaddy river .,3
left engine flamed takeoff .,1
tail rotor pitch control system failed shortly taking . helicopter tried return .,3
pilot flew mountain pass became suffered spatial disorientation . continued vfr adverse weather conditions . instrument rated .,1
ocean .,2
ils approach fog low visibility . improper ifr operation . tower advised pilot 1/2 mile course .,8
short runway coconut plantation attempting land heavy rain . windshear . excessive sink rate . crew 's non-conformance approach procedures . incorrect information supplied radar controller . lack approach lighting system bandaranaike .,8
"final approach sleet , freezing rain low ceiling . pilot failed maintain flying speed stalled .",9
sank left wing tip struck water heavy rain wind .,9
mountain burned short runway experiencing engine failure .,3
rubio mountains .,0
"rain , fog low ceiling . continued vfr deteriorating weather conditions .",8
partial no.1 engine failure takeoff . .,2
"forced return steamboat springs due severe icing , 10,530 ft. mountain . severe icing strong downdraughts associated mountain wave combined exceed 's capability maintain . contributing accident captain 's decision fly probable icing conditions exceeded conditions authorized company directives .",3
"could n't climb takeoff due non-availability leading edge slats , overran runway killed one passenger 3 maintenance workers ground cutting grass . nonavailability leading edge devices immediately rotation take .",9
collided wires fog low ceiling . continued vfr adverse weather conditions .,7
pilot flew white conditions suffered spatial disorientation . continued vfr adverse weather conditions .,1
ocean landing approach . poor monitoring altitudes early transition ils visual procedures .,6
"denver portland , ran fuel crew distracted landing gear problem . failure captain monitor properly 's fuel state properly respond low fuel state indicated crew members . contributing accident failure two crew members either fully comprehend criticality fuel state successfully communicate concern captain .",3
midair collision aerostar 600. pilots command failed see avoid . anti-collision lights .,4
encountered air frame icing wind shear attempting land . pilot initiated adverse weather conditions . failed follow approved procedures .,1
"short runway approach . crew error . non-compliance proper procedure , lack crew coordination , crew fatigue faulty altimiter .",9
struck mountain . failure crew level prescribed altitude either due inadequate monitoring altimeter setting error confusion qnh qfe .,3
", positioning flew side mountain",7
hit trees burst flames shortly taking .,1
inverted shortly lifting ground . captain 's decision take snow 's wing empennage surfaces resulted loss lateral control loss lift ascended ground effect .,9
shot rebels 2 surface-to-air missiles minutes taking kariba .,8
flew water ils approach . crew misled visual illusion conditions reduced visibility believing safe height consequently failed monitor instruments sufficiently confirm maintained safe approach path .,1
bomb exploded aboard .,3
midair collision beechcraft 99a55 . pilots command failed see avoid .,4
failed maintain flying speed attempting take . improperly loaded . nose baggage door opened takeoff . flaps inoperative . improper emergency procedures . inadequate emergency training .,3
missed approach fog low ceiling . improper ifr operation .,8
"struck . bromo 6,200 ft. ..",9
"ditched santa monica bay near marina del rey , shortly taking santa monica airport . crew 's mismanagement emergency procedure following autofeather right-hand propeller resulted shutting remaining engine . leak break propeller pressure line probably caused right engine autofeather . left engine shut crew failed identify engine autofeather occurred moved left power lever stop position . contributing accident unavailability vital restart information crew .",3
factory stolen flown pilot qualified fly .,1
aircarft freezing rain fog shortly taking . overloaded . pilot little experience flying type .,2
entering wake turbulence helicopter .,5
"descended quickly , power applied struck trees . allowed minima conditions .",1
"pilot became disoriented , snow low visibility . pilot qualified type flying . faa suspended certificate .",9
"lost . 2 engine takeoff , overran runway , ils localizer antenna , broke caught fire .",3
engine failure shortly takeoff caused damage landing gear could retracted increasing drag critical climbout phase . airspeed slowed .,3
mountain shortly taking . continued vfr adverse weather conditions . ifr plan filed .,1
"attempted go-around , struck boat wakes . one passenger drowned .",7
tail rotor separated shortly takeoff . helicopter autorotated . fatigue fracture tail rotor .,9
disappeared . wreckage discovered 5 years .,7
approach .,1
"takeoff , lifted runway , left engine pylon separated damaging wing hydraulisystem caused roll crash . highest single death toll u.s. aviation history . asymmetrical stall ensuing roll uncommanded retraction left wing outboard leading edge slats loss stall warning slat disagreement indication systems caused separation engine pylon . improper maintenance procedures used american airlines dismounting engines maintenance , removing pylon engine together , putting strain engine mounts leading stress cracks .",9
. continued vfr adverse weather conditions .,1
"heavy crosswind attempting takeoff . inadequate preflight preparation and/or planning . pilot command failed follow approved procedures , directives , etc . shifted .",3
"atlantiocean blinding sandstorm . pilot , unable land due sandstorm headed another approach accident occurred .",1
"wooded area non-precision approach rockland , fog . failure arrest 's descent rate , without runway sight . inordinate management pressures , first officer 's marginal instrument proficiency , captain 's inadequate supervision , inadequate crew training captain 's chronifatigue factors accident .",3
"16,000 ft. mountain 10 minutes taking leh .",7
"heavily wooded area 1.5 northeast barnstable municipal airport ils approach . failure flightcrew recognize react timely manner gross deviation acceptable approach parameters , resulting continuation descent well decision height precision approach without visual contact runway environment . pilot fatigue .",3
"struck . sebayak 5,500 ft. approach . pilot error.the named 'mamberamo . '",1
low ceiling rain . fluxgate compass inoperative chafed wires .,7
rain forest . pilot-in-command continuing conditions lost visual reference ground resulted colliding terrain .,7
"malfunction loran navigation system caused pilot become lost , run fuel crash pacific . wreckage never found .",9
"third practice touch-and-go landing , yawed right , stalled inverted attitude .",3
attained nose-high attitude pitched shortly taking . pilot 's loss control takeoff 's grossly overweight out-of-balance condition resulted misloading company 's load control personnel . misloading due failure company supervise enforce loading procedures .,3
overrunning runway taking . locked condition elevators prevented rotation flying attitude . gust lock became re-engaged pre- check .,1
"1,000 short runway landing attempt akron-canton airfield . baseball player thurman munson , 32 , piloting , killed . munson practicing takeoffs landings , allowed get low slowed 10 knots safe landing speed .",9
due engine failure approach .,3
kiroli hills approach bombay night . momentary/intermittent loss electrical contact g/s system gave pilot erroneous impression interception glide slope .,1
flew blind canyon trees . pilot error .,7
ran fuel initial climb . fuel starvation . fuel selector valves positioned auxiliary tanks .,6
. wreckage found 1987 .,7
"midair collision 27,200 ft. separation error air trafficontroller . eight-four killed 65735 94 65816. fourteen players 3 staff members russian soccer team , pakhtakor tashkent killed .",3
illegal .,7
wooded area four engines flamed . fuel contamination .,9
lost control uncommanded flap extension fl270 .,9
hill making turn approach .,8
approach two engines failed leading loss control .,9
taking .,0
transporting company employees hit surveyor mountain 7 minutes taking klamath falls . hit trees along crest mountain ridge along path . crew error . crew 's decision undertake direct point-to-point high cruise speed low altitude .,9
"hit mountain altitude 2,000 ft. approach poor weather . crew 's misjudgement selection low altitude profile inadequate atc assistance .",8
struck high ground .,7
attempting land .,8
"finals suddenly turned right descended right wing-down attitude , striking ground cartwheeling trees .",9
pilot suffered spatial disorientation entering clouds . continued vfr adverse weather . pilot influence alcohol .,1
engine failure undetermined reasons . improper flap configueration . overloaded . hurried departure . inadequate training .,9
overran runway left wing tail separating came rest . crew touched far runway speed higher normal non-stabilized final approach . crew fully apply braking systems touchdown known adverse conditions .,9
suffered engine failure takeoff . water fuel . improperly serviced .,3
flying tornado watch area . continued known areas severe turbulence .,1
"final approach . hit pole , 14 ground level , 2 approach end runway . localizer inoperative crew using vor/dme . improper ifr operation .",9
utility pole short runway heavy fog .,9
"struck vehicle landing closed runway fog . tower warned three times closed runway . non-compliance meteorological minima approach procedure , cleared . failure comply 's operating procedures approach phase , landing runway closed traffic .",9
sruck tower trying land poor visibility .,8
lost power takeoff power lines . power plant failure undetermined reasons . inadequate maintenance inspection .,3
"1,200 ft. high lom commenced rapid descent . improper ifr operation .",3
"chicago washington explosive device detonated baggage compartment . flying altitude approximately 34,500 , crew experienced noise described thump . smoke subsequently filled cabin forced make emergency landing washington-dulles airport . bomb planted unabomber , man accused attacks 18-year period . arrested april 1996 subsequently received life sentence .",3
descended decision height without established ground contact wooded area .,3
"descent attained high airspeed high rate descent disintegrated . progressive failure 's electrical system leading disabling erratiperformance critical instruments instrument lighting operating night instrument meteorological condition . result conditions , crew could resolve instrumentation anomalies determine proper attitude reference , became disoriented lost control . crew 's efforts regain control imposed aerodynamiloads exceeded design limits caused break .",9
taking .,0
airborne half hour cabin attendant reported fire aft cabin area . seventeen minutes later rocky desert attempting emergency landing . blaze may started passenger possibly leaking kerosene stove carried aboard haj pilgrim passenger .,7
"slopes . erebus sightseeing antarctica . incorrect computer-stored plan resulted navigational error directing towards . erebus . overcast , crew descended authorized altitude . contributing accident crew 's inexperience flying antarctiroute . information navigational errors suppressed officials .",9
"snow , low ceiling fog . continued vfr adverse weather .",7
shifting caused pilot lose control crash hotel .,1
flew mountain .,7
jungle domestiflight 20 destination . severe thunderstorms associated windshear hurricane believed caused crash .,1
"cubuk hill fog , two minutes away landing airport . in-flight structural failure due severe turbulence . named 'trabzon . '",3
side mountain .,7
struck high ground poor visibility .,8
"45 minute fight shreveport baton rouge louisiana . climbed past assigned altitude veered northeast . faa tried contact without success . fighter jets scrambled intercept observed one controls got response radio calls . rose altitude 41,600 headed . eventually ran fuel , descended 25,000 , went spin 1,100 water . wreckage remains ever recovered . official cause remains unknown although believed occupants lost consciousness due oxygen deprivation . louisiana state university football coach robert 'bo ' rein , 34 , killed .",9
"mountain landing attempt fog snow . inoperative ground radar , inoperative ils . named 'shiraz . '",1
"hit high ground 2,700 ft. poor weather approach .",1
building attempting emergency landing following loss one engine .,3
attemping land .,3
wall 2 short runway attemping emergency landing .,3
"helicopter experienced uncontrollable overspeeding , became airborne , lost power .",3
bicyclist riding runway led pilot initiate premature liftoff resulting stall . carrying paratroopers .,9
undershot runway bounced twice . two outboard engines broke loose wingtips ripped . fire broke spread rapidly . pilot error .,9
"attempting land warsaw , crew initiated overshoot procedure indications landing gear . thrust applied , . 2 engine disintegrated , damaging two engines severing rudder elevator control lines . one-half mile runway threshold . metal fatigue . 2 engine turbine disc . dead included 22 members u.s. boxing team polish singer anna jantar . named mikolaj kopernik .",3
hilly terrain left wing exploded . cause unknown . returning incirlik air base .,7
"right engine failed taking . plunged ground , struck helicopter , small , four parked cars , slammed hanger burst flames . engine failed undetermined reasons . improper emergency procedures . pilot properly configure land immediately .",3
.,7
stalling .,2
hill landing thunderstorm . pilot misjudged speed distance failed initiate go-around . improper supervision control engines .,8
hit u.s. marine corps rh-53d stallion helicopter hostage rescue operation ground .,7
"mountain 5,500 ft. high 300 mph approach tenerife . pilot , holding pattern , took area high ground maintaining correct altitude . lack communication pilot co-pilot .",3
"entered thunderstorm , caught downdraft struck ground 8 nm northeast bangkok international airport . pilot directed thunderstorm early dissipating stage . severely affected downdraft lost altitude rapidly . time , altitude 1,500 ft. pilot could maintain altitude . procedural error pilot . tuned weather warning , use weather radar flew area severe weather .",1
conducting survey,9
.,7
fire explosion took place 5 minutes taking . explosion possibly caused bomb placed rear section .,2
"unexpected encouter moderate severe clear air turbulence , flightcrew 's improper response encounter , 's marginal controllability characteristics flown beyond boundary high altitude speed envelope , resulted exceeding mach limits progressive loss control recovery possible .",9
mountain visual reference due fog .,6
